,brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
648,Hyundai,Verna 1.6 VTVT SX,Manual,2017.0,Petrol,1591.0,87228.0,1st owner,739000,14440.0,True,Yes,HR51,2017 Hyundai Verna 1.6 VTVT SX
649,Maruti,Swift VXI,Manual,2015.0,Petrol,1197.0,43805.0,1st owner,372000,7266.0,True,No,HR29,2015 Maruti Swift VXI
650,Maruti,Swift VXI AMT,Automatic,2021.0,Petrol,1197.0,29279.0,1st owner,647000,12652.0,True,No,DL3C,2021 Maruti Swift VXI AMT
652,Hyundai,Elite i20 MAGNA PLUS 1.2,Manual,2019.0,Petrol,1197.0,69807.0,3rd owner,447000,8735.0,True,No,HR51,2019 Hyundai Elite i20 MAGNA PLUS 1.2
653,KIA,SELTOS HTK PLUS 1.5 DIESEL IMT,Manual,2022.0,Diesel,1493.0,44548.0,1st owner,1340000,25506.0,True,No,HR87,2022 KIA SELTOS HTK PLUS 1.5 DIESEL IMT
654,Maruti,Wagon R 1.0 VXI,Manual,2014.0,CNG,998.0,81616.0,2nd owner,280000,9312.0,True,No,HR29,2014 Maruti Wagon R 1.0 VXI
655,Maruti,Alto 800 LXI,Manual,2018.0,Petrol,796.0,68182.0,2nd owner,272000,5319.0,True,No,HR51,2018 Maruti Alto 800 LXI
656,Maruti,Ciaz ALPHA  AT 1.5 SHVS PETROL,Automatic,2022.0,Petrol,1462.0,29231.0,1st owner,1055000,20081.0,True,No,HR51,2022 Maruti Ciaz ALPHA  AT 1.5 SHVS PETROL
657,Maruti,IGNIS DELTA 1.2,Manual,2018.0,Petrol,1197.0,57568.0,1st owner,432000,8443.0,True,Yes,HR51,2018 Maruti IGNIS DELTA 1.2
658,Maruti,Dzire VXI,Manual,2019.0,Petrol,1197.0,43305.0,1st owner,553000,10811.0,True,No,HR05,2019 Maruti Dzire VXI
659,Renault,Kwid RXL 1.0 AMT,Automatic,2017.0,Petrol,999.0,56687.0,1st owner,279000,5457.0,True,Yes,HR87,2017 Renault Kwid RXL 1.0 AMT
660,Mahindra,Kuv100 K4 6 STR,Manual,2016.0,Petrol,1198.0,27368.0,1st owner,337000,6588.0,True,No,HR51,2016 Mahindra Kuv100 K4 6 STR
662,Honda,City 1.5L I-VTEC V MT,Manual,2017.0,Petrol,1497.0,70725.0,2nd owner,613000,11992.0,True,Yes,HR10,2017 Honda City 1.5L I-VTEC V MT
663,KIA,SELTOS GTX PLUS DCT 1.4 PETROL,Automatic,2021.0,Petrol,1353.0,13153.0,1st owner,1491000,28380.0,True,No,HR51,2021 KIA SELTOS GTX PLUS DCT 1.4 PETROL
664,Honda,Amaze 1.2L I-VTEC S,Manual,2019.0,Petrol,1199.0,58524.0,2nd owner,504000,9851.0,True,No,HR29,2019 Honda Amaze 1.2L I-VTEC S
665,Maruti,Vitara Brezza ZXI,Manual,2020.0,Petrol,1462.0,82142.0,1st owner,730000,14268.0,True,No,DL3C,2020 Maruti Vitara Brezza ZXI
666,Hyundai,i20 SPORTZ 1.2,Manual,2014.0,CNG,1197.0,83724.0,2nd owner,362000,12031.0,True,No,HR26,2014 Hyundai i20 SPORTZ 1.2
667,Maruti,Wagon R 1.0 VXI,Manual,2013.0,Petrol,998.0,19147.0,2nd owner,247000,6494.0,True,No,DL5C,2013 Maruti Wagon R 1.0 VXI
668,Hyundai,NEW SANTRO SPORTZ CNG,Manual,2019.0,CNG,1086.0,63126.0,1st owner,474000,9265.0,True,No,HR29,2019 Hyundai NEW SANTRO SPORTZ CNG
669,Hyundai,Elite i20 ASTA 1.2,Manual,2015.0,CNG,1197.0,71476.0,1st owner,443000,11666.0,True,No,HR51,2015 Hyundai Elite i20 ASTA 1.2
670,Tata,TIGOR XZ PLUS CNG,Manual,2022.0,CNG,1199.0,40949.0,1st owner,721000,14087.0,True,Yes,UP16,2022 Tata TIGOR XZ PLUS CNG
671,Maruti,Alto K10 VXI,Manual,2017.0,Petrol,998.0,98904.0,1st owner,273000,5332.0,True,No,DL8C,2017 Maruti Alto K10 VXI
673,Ford,Ecosport TREND 1.5L PETROL,Manual,2013.0,Petrol,1499.0,79269.0,1st owner,335000,8822.0,True,No,DL10,2013 Ford Ecosport TREND 1.5L PETROL
674,Honda,WR-V 1.2L I-VTEC VX MT,Manual,2017.0,Petrol,1199.0,52817.0,2nd owner,537000,10500.0,True,No,DL10,2017 Honda WR-V 1.2L I-VTEC VX MT
675,Hyundai,Elite i20 SPORTZ 1.2,Manual,2015.0,Petrol,1197.0,101695.0,2nd owner,429000,9537.0,True,No,UP16,2015 Hyundai Elite i20 SPORTZ 1.2
676,Maruti,Dzire ZXI PLUS,Manual,2018.0,Petrol,1197.0,76745.0,1st owner,590000,11538.0,True,No,UP16,2018 Maruti Dzire ZXI PLUS
677,Maruti,S PRESSO VXI PLUS AMT,Automatic,2020.0,Petrol,998.0,31302.0,1st owner,436000,8530.0,True,Yes,DL2C,2020 Maruti S PRESSO VXI PLUS AMT
